Código MTE,Período,Estoque,Admissões,Desligamentos,Saldos,Variação Relativa (%),Nome,Latitude,Longitude,Código IBGE,ID Reg. Adm.,Apelido Reg. Adm.,Rotatividade
353580,Outubro/2020,4262.0,259,129,130,3.15,Paranapanema,-23.3862,-48.7214,3535804,7,Itapeva,0.045518535898639134
353590,Outubro/2020,575.0,1,4,-3,-0.52,Paranapuã,-20.1048,-50.5886,3535903,13,São José do Rio Preto,0.004347826086956522
353600,Outubro/2020,2861.0,50,57,-7,-0.24,Parapuã,-21.7792,-50.7949,3536000,8,Marília,0.018699755330304088
353610,Outubro/2020,2032.0,59,56,3,0.15,Pardinho,-23.0841,-48.3679,3536109,16,Sorocaba,0.028297244094488187
353620,Outubro/2020,3004.0,46,37,9,0.3,Pariquera-Açu,-24.7147,-47.8742,3536208,10,Registro,0.01381491344873502
353625,Outubro/2020,121.0,2,6,-4,-3.2,Parisi,-20.3034,-50.0163,3536257,13,São José do Rio Preto,0.03305785123966942
353630,Outubro/2020,4016.0,128,84,44,1.11,Patrocínio Paulista,-20.6384,-47.2801,3536307,6,Franca,0.026394422310756973
353640,Outubro/2020,1767.0,26,35,-9,-0.51,Paulicéia,-21.3153,-51.8321,3536406,9,Presidente Prudente,0.01726089417091115
353650,Outubro/2020,42819.0,1533,1441,92,0.22,Paulínia,-22.7542,-47.1488,3536505,5,Campinas,0.03472757420771153
353657,Outubro/2020,325.0,1,2,-1,-0.31,Paulistânia,-22.5768,-49.4008,3536570,4,Bauru,0.004615384615384616
353660,Outubro/2020,618.0,7,12,-5,-0.8,Paulo de Faria,-20.0296,-49.4,3536604,13,São José do Rio Preto,0.015372168284789644
353670,Outubro/2020,11178.0,529,310,219,2.0,Pederneiras,-22.3511,-48.7781,3536703,4,Bauru,0.03752907496868849
353680,Outubro/2020,887.0,18,17,1,0.11,Pedra Bela,-22.7902,-46.4455,3536802,5,Campinas,0.019729425028184894
353690,Outubro/2020,228.0,8,3,5,2.24,Pedranópolis,-20.2474,-50.1129,3536901,13,São José do Rio Preto,0.02412280701754386
353700,Outubro/2020,3034.0,59,40,19,0.63,Pedregulho,-20.2535,-47.4775,3537008,6,Franca,0.016315095583388266
353710,Outubro/2020,12474.0,695,525,170,1.38,Pedreira,-22.7413,-46.8948,3537107,5,Campinas,0.048901715568382235
353715,Outubro/2020,367.0,5,6,-1,-0.27,Pedrinhas Paulista,-22.8174,-50.7933,3537156,8,Marília,0.014986376021798364
353720,Outubro/2020,587.0,15,14,1,0.17,Pedro de Toledo,-24.2764,-47.2354,3537206,10,Registro,0.024701873935264053
353730,Outubro/2020,14915.0,502,380,122,0.82,Penápolis,-21.4148,-50.0769,3537305,2,Araçatuba,0.02956754944686557
353740,Outubro/2020,4378.0,66,359,-293,-6.27,Pereira Barreto,-20.6368,-51.1123,3537404,2,Araçatuba,0.04853814527181361
353750,Outubro/2020,2521.0,70,82,-12,-0.47,Pereiras,-23.0804,-47.972,3537503,16,Sorocaba,0.03014676715589052
353760,Outubro/2020,7559.0,274,210,64,0.85,Peruíbe,-24.311999999999998,-47.0012,3537602,12,Santos,0.03201481677470565
353770,Outubro/2020,1324.0,59,4,55,4.33,Piacatu,-21.5921,-50.6003,3537701,2,Araçatuba,0.02379154078549849
353780,Outubro/2020,6759.0,175,106,69,1.03,Piedade,-23.7139,-47.4256,3537800,16,Sorocaba,0.020787098683237165
353790,Outubro/2020,5772.0,172,140,32,0.56,Pilar do Sul,-23.8077,-47.7222,3537909,16,Sorocaba,0.02702702702702703
353800,Outubro/2020,31989.0,884,591,293,0.92,Pindamonhangaba,-22.9246,-45.4613,3538006,14,São José dos Campos,0.023054800087530088
353810,Outubro/2020,2673.0,58,64,-6,-0.22,Pindorama,-21.1853,-48.9086,3538105,13,São José do Rio Preto,0.022820800598578377
353820,Outubro/2020,2231.0,89,51,38,1.73,Pinhalzinho,-22.7811,-46.5897,3538204,5,Campinas,0.031376064545047065
353830,Outubro/2020,296.0,17,3,14,4.96,Piquerobi,-21.8747,-51.7282,3538303,9,Presidente Prudente,0.033783783783783786
353850,Outubro/2020,1341.0,44,57,-13,-0.96,Piquete,-22.6069,-45.1869,3538501,14,São José dos Campos,0.037658463832960475
353860,Outubro/2020,3967.0,147,124,23,0.58,Piracaia,-23.0525,-46.3594,3538600,5,Campinas,0.03415679354676077
353870,Outubro/2020,114447.0,4207,3200,1007,0.89,Piracicaba,-22.7338,-47.6476,3538709,5,Campinas,0.0323599570106687
353880,Outubro/2020,5100.0,166,116,50,0.99,Piraju,-23.1981,-49.3803,3538808,7,Itapeva,0.027647058823529413
353890,Outubro/2020,3726.0,152,99,53,1.44,Pirajuí,-21.999000000000002,-49.4608,3538907,4,Bauru,0.03368223295759527
353900,Outubro/2020,2444.0,37,56,-19,-0.77,Pirangi,-21.0886,-48.6607,3539004,3,Barretos,0.01902618657937807
353910,Outubro/2020,1710.0,43,42,1,0.06,Pirapora do Bom Jesus,-23.3965,-46.9991,3539103,15,São Paulo,0.024853801169590642
353920,Outubro/2020,3998.0,160,141,19,0.48,Pirapozinho,-22.2711,-51.4976,3539202,9,Presidente Prudente,0.03764382191095548
353930,Outubro/2020,17411.0,592,933,-341,-1.92,Pirassununga,-21.996,-47.4257,3539301,5,Campinas,0.043794153121589796
353940,Outubro/2020,1828.0,55,44,11,0.61,Piratininga,-22.4142,-49.1339,3539400,4,Bauru,0.027078774617067834
353950,Outubro/2020,8066.0,147,155,-8,-0.1,Pitangueiras,-21.0132,-48.221000000000004,3539509,11,Ribeirão Preto,0.018720555417803125
353960,Outubro/2020,2951.0,48,50,-2,-0.07,Planalto,-21.0342,-49.933,3539608,13,São José do Rio Preto,0.016604540833615723
353970,Outubro/2020,310.0,2,3,-1,-0.32,Platina,-22.6371,-50.2104,3539707,8,Marília,0.008064516129032258
353980,Outubro/2020,22974.0,1124,852,272,1.2,Poá,-23.5333,-46.3473,3539806,15,São Paulo,0.04300513624096805
353990,Outubro/2020,1125.0,10,115,-105,-8.54,Poloni,-20.7829,-49.8258,3539905,13,São José do Rio Preto,0.05555555555555555
354000,Outubro/2020,7948.0,160,111,49,0.62,Pompéia,-22.107,-50.176,3540002,8,Marília,0.017048314041268244
354010,Outubro/2020,292.0,7,8,-1,-0.34,Pongaí,-21.7396,-49.3604,3540101,4,Bauru,0.025684931506849314
354020,Outubro/2020,11700.0,103,223,-120,-1.02,Pontal,-21.0216,-48.0423,3540200,11,Ribeirão Preto,0.013931623931623931
354025,Outubro/2020,151.0,14,24,-10,-6.21,Pontalinda,-20.4396,-50.5258,3540259,13,São José do Rio Preto,0.12582781456953643
354030,Outubro/2020,412.0,1,8,-7,-1.67,Pontes Gestal,-20.1727,-49.7064,3540309,13,São José do Rio Preto,0.010922330097087379
354040,Outubro/2020,313.0,0,6,-6,-1.88,Populina,-19.9453,-50.538000000000004,3540408,13,São José do Rio Preto,0.009584664536741214
354050,Outubro/2020,1396.0,34,24,10,0.72,Porangaba,-23.1761,-48.1195,3540507,16,Sorocaba,0.020773638968481375
354060,Outubro/2020,14859.0,587,470,117,0.79,Porto Feliz,-23.2093,-47.5251,3540606,16,Sorocaba,0.03556766942593714
354070,Outubro/2020,14566.0,722,539,183,1.27,Porto Ferreira,-21.8498,-47.486999999999995,3540705,1,São Carlos,0.04328573390086503
354075,Outubro/2020,925.0,19,22,-3,-0.32,Potim,-22.8343,-45.2552,3540754,14,São José dos Campos,0.02216216216216216
354080,Outubro/2020,4260.0,111,82,29,0.69,Potirendaba,-21.0428,-49.3815,3540804,13,São José do Rio Preto,0.022652582159624412
354085,Outubro/2020,81.0,2,3,-1,-1.22,Pracinha,-21.8496,-51.0868,3540853,9,Presidente Prudente,0.030864197530864196
354090,Outubro/2020,7262.0,135,228,-93,-1.26,Pradópolis,-21.3626,-48.0679,3540903,11,Ribeirão Preto,0.024993114844395484
354100,Outubro/2020,40281.0,1519,1128,391,0.98,Praia Grande,-24.0084,-46.4121,3541000,12,Santos,0.03285668181028276
354105,Outubro/2020,1098.0,25,21,4,0.37,Pratânia,-22.8112,-48.6636,3541059,16,Sorocaba,0.020947176684881604
354110,Outubro/2020,547.0,4,7,-3,-0.55,Presidente Alves,-22.0999,-49.4381,3541109,4,Bauru,0.010054844606946984
354120,Outubro/2020,3231.0,30,53,-23,-0.71,Presidente Bernardes,-22.0082,-51.5565,3541208,9,Presidente Prudente,0.01284432064376354
354130,Outubro/2020,4380.0,143,113,30,0.69,Presidente Epitácio,-21.7651,-52.1111,3541307,9,Presidente Prudente,0.029223744292237442
354140,Outubro/2020,61131.0,2384,1718,666,1.1,Presidente Prudente,-22.1207,-51.3925,3541406,9,Presidente Prudente,0.03355089888927058
354150,Outubro/2020,4838.0,153,122,31,0.64,Presidente Venceslau,-21.8732,-51.8447,3541505,9,Presidente Prudente,0.028420835055808186
354160,Outubro/2020,8159.0,245,231,14,0.17,Promissão,-21.5356,-49.8599,3541604,4,Bauru,0.029170241451158232
354165,Outubro/2020,528.0,6,7,-1,-0.19,Quadra,-23.2993,-48.0547,3541653,16,Sorocaba,0.01231060606060606
354170,Outubro/2020,3502.0,46,70,-24,-0.68,Quatá,-22.2456,-50.6966,3541703,8,Marília,0.01656196459166191
354180,Outubro/2020,2811.0,17,99,-82,-2.83,Queiroz,-21.7969,-50.2415,3541802,8,Marília,0.02063322660974742
354190,Outubro/2020,1092.0,32,8,24,2.25,Queluz,-22.5312,-44.7781,3541901,14,São José dos Campos,0.018315018315018316
354200,Outubro/2020,1324.0,25,25,0,0.0,Quintana,-22.0692,-50.306999999999995,3542008,8,Marília,0.0188821752265861
354210,Outubro/2020,2294.0,42,45,-3,-0.13,Rafard,-23.0105,-47.5318,3542107,5,Campinas,0.01896251089799477
354220,Outubro/2020,6054.0,98,91,7,0.12,Rancharia,-22.2269,-50.893,3542206,9,Presidente Prudente,0.015609514370664023
354230,Outubro/2020,4.0,695,320,375,-101.08,Redenção da Serra,-23.2638,-45.5422,3542305,14,São José dos Campos,126.875
354240,Outubro/2020,4204.0,151,96,55,1.33,Regente Feijó,-22.2181,-51.3055,3542404,9,Presidente Prudente,0.029376784015223596
354250,Outubro/2020,1258.0,71,39,32,2.61,Reginópolis,-21.8914,-49.2268,3542503,4,Bauru,0.04372019077901431
354260,Outubro/2020,11264.0,331,206,125,1.12,Registro,-24.4979,-47.8449,3542602,10,Registro,0.023837002840909092
354270,Outubro/2020,1616.0,50,63,-13,-0.8,Restinga,-20.6056,-47.4833,3542701,6,Franca,0.034962871287128716
354280,Outubro/2020,309.0,6,14,-8,-2.52,Ribeira,-24.6517,-49.0044,3542800,7,Itapeva,0.032362459546925564
354290,Outubro/2020,2054.0,75,51,24,1.18,Ribeirão Bonito,-22.0685,-48.181999999999995,3542909,1,São Carlos,0.030671859785783837
354300,Outubro/2020,2930.0,41,47,-6,-0.2,Ribeirão Branco,-24.2206,-48.7635,3543006,7,Itapeva,0.015017064846416382
354310,Outubro/2020,527.0,14,7,7,1.35,Ribeirão Corrente,-20.4579,-47.5904,3543105,6,Franca,0.019924098671726755
