Código MTE,Período,Estoque,Admissões,Desligamentos,Saldos,Variação Relativa (%),Nome,Latitude,Longitude,Código IBGE,ID Reg. Adm.,Apelido Reg. Adm.
354920,Junho/2020,88.0,0,2,-2,-2.22,São João das Duas Pontes,-20.3879,-50.3792,3549201,13,São José do Rio Preto
354925,Junho/2020,124.0,8,9,-1,-0.8,São João de Iracema,-20.5111,-50.3561,3549250,2,Araçatuba
354930,Junho/2020,89.0,1,0,1,1.14,São João do Pau d'Alho,-21.2662,-51.6672,3549300,9,Presidente Prudente
354940,Junho/2020,12902.0,200,228,-28,-0.22,São Joaquim da Barra,-20.5812,-47.8593,3549409,6,Franca
354950,Junho/2020,752.0,4,4,0,0.0,São José da Bela Vista,-20.5935,-47.6424,3549508,6,Franca
354960,Junho/2020,505.0,0,0,0,0.0,São José do Barreiro,-22.6414,-44.5774,3549607,14,São José dos Campos
354970,Junho/2020,12723.0,185,284,-99,-0.77,São José do Rio Pardo,-21.5953,-46.8873,3549706,5,Campinas
354980,Junho/2020,130503.0,2798,3978,-1180,-0.9,São José do Rio Preto,-20.8113,-49.3758,3549805,13,São José do Rio Preto
354990,Junho/2020,170535.0,3435,4032,-597,-0.35,São José dos Campos,-23.1896,-45.8841,3549904,14,São José dos Campos
354995,Junho/2020,7527.0,141,297,-156,-2.03,São Lourenço da Serra,-23.8491,-46.9432,3549953,15,São Paulo
355000,Junho/2020,1715.0,7,27,-20,-1.15,São Luiz do Paraitinga,-23.222,-45.3109,3550001,14,São José dos Campos
355010,Junho/2020,7131.0,162,112,50,0.71,São Manuel,-22.7321,-48.5723,3550100,16,Sorocaba
355020,Junho/2020,3610.0,49,67,-18,-0.5,São Miguel Arcanjo,-23.8782,-47.9935,3550209,16,Sorocaba
355030,Junho/2020,4162121.0,136701,142123,-5422,-0.13,São Paulo,-23.5329,-46.6395,3550308,15,São Paulo
355040,Junho/2020,6548.0,147,191,-44,-0.67,São Pedro,-22.5483,-47.9096,3550407,5,Campinas
355050,Junho/2020,1010.0,170,13,157,18.41,São Pedro do Turvo,-22.7453,-49.7428,3550506,8,Marília
355060,Junho/2020,18044.0,389,556,-167,-0.92,São Roque,-23.5226,-47.1357,3550605,16,Sorocaba
355070,Junho/2020,14767.0,394,386,8,0.05,São Sebastião,-23.7951,-45.4143,3550704,14,São José dos Campos
355080,Junho/2020,2187.0,62,46,16,0.74,São Sebastião da Grama,-21.7041,-46.8208,3550803,5,Campinas
355090,Junho/2020,3111.0,37,63,-26,-0.83,São Simão,-21.4732,-47.5518,3550902,11,Ribeirão Preto
355100,Junho/2020,29175.0,463,568,-105,-0.36,São Vicente,-23.9574,-46.3883,3551009,12,Santos
355110,Junho/2020,1604.0,44,29,15,0.94,Sarapuí,-23.6397,-47.8249,3551108,16,Sorocaba
355120,Junho/2020,361.0,1,11,-10,-2.7,Sarutaiá,-23.2721,-49.4763,3551207,7,Itapeva
355130,Junho/2020,2232.0,21,18,3,0.13,Sebastianópolis do Sul,-20.6523,-49.925,3551306,13,São José do Rio Preto
355140,Junho/2020,823.0,11,25,-14,-1.67,Serra Azul,-21.3074,-47.5602,3551405,11,Ribeirão Preto
355150,Junho/2020,6436.0,176,201,-25,-0.39,Serrana,-21.2043,-47.5952,3551504,11,Ribeirão Preto
355160,Junho/2020,5881.0,73,90,-17,-0.29,Serra Negra,-22.6139,-46.7033,3551603,5,Campinas
355170,Junho/2020,38208.0,898,1101,-203,-0.53,Sertãozinho,-21.1316,-47.9875,3551702,11,Ribeirão Preto
355180,Junho/2020,1860.0,6,10,-4,-0.21,Sete Barras,-24.382,-47.9279,3551801,10,Registro
355190,Junho/2020,1953.0,56,156,-100,-4.87,Severínia,-20.8108,-48.8054,3551900,3,Barretos
355200,Junho/2020,696.0,3,4,-1,-0.14,Silveiras,-22.6638,-44.8522,3552007,14,São José dos Campos
355210,Junho/2020,7444.0,131,185,-54,-0.72,Socorro,-22.5903,-46.5251,3552106,5,Campinas
355220,Junho/2020,181184.0,4651,5082,-431,-0.24,Sorocaba,-23.4969,-47.4451,3552205,16,Sorocaba
355230,Junho/2020,1334.0,265,139,126,10.43,Sud Mennucci,-20.6872,-50.9238,3552304,2,Araçatuba
355240,Junho/2020,51862.0,1520,1215,305,0.59,Sumaré,-22.8204,-47.2728,3552403,5,Campinas
355250,Junho/2020,60057.0,1523,1193,330,0.55,Suzano,-23.5448,-46.3112,3552502,15,São Paulo
355255,Junho/2020,1604.0,20,9,11,0.69,Suzanápolis,-20.4981,-51.0268,3552551,2,Araçatuba
355260,Junho/2020,1554.0,124,22,102,7.02,Tabapuã,-20.9602,-49.0307,3552601,13,São José do Rio Preto
355270,Junho/2020,2917.0,77,52,25,0.86,Tabatinga,-21.7239,-48.6896,3552700,1,São Carlos
355280,Junho/2020,56439.0,1961,2041,-80,-0.14,Taboão da Serra,-23.6019,-46.7526,3552809,15,São Paulo
355290,Junho/2020,349.0,5,5,0,0.0,Taciba,-22.3866,-51.2882,3552908,9,Presidente Prudente
355300,Junho/2020,3751.0,25,226,-201,-5.09,Taguaí,-23.4452,-49.4024,3553005,7,Itapeva
355310,Junho/2020,422.0,4,6,-2,-0.47,Taiaçu,-21.1431,-48.5112,3553104,3,Barretos
355320,Junho/2020,727.0,8,13,-5,-0.68,Taiúva,-21.1223,-48.4528,3553203,3,Barretos
355330,Junho/2020,4627.0,282,69,213,4.83,Tambaú,-21.7029,-47.2703,3553302,5,Campinas
355340,Junho/2020,4856.0,163,87,76,1.59,Tanabi,-20.6228,-49.6563,3553401,13,São José do Rio Preto
355350,Junho/2020,804.0,3,6,-3,-0.37,Tapiraí,-23.9612,-47.5062,3553500,16,Sorocaba
355360,Junho/2020,2552.0,24,126,-102,-3.84,Tapiratiba,-21.4713,-46.7448,3553609,5,Campinas
355365,Junho/2020,402.0,19,1,18,4.69,Taquaral,-21.0737,-48.4126,3553658,11,Ribeirão Preto
355370,Junho/2020,9124.0,196,207,-11,-0.12,Taquaritinga,-21.4049,-48.5103,3553708,1,São Carlos
355380,Junho/2020,4164.0,313,72,241,6.14,Taquarituba,-23.5307,-49.24100000000001,3553807,7,Itapeva
355385,Junho/2020,1309.0,20,8,12,0.93,Taquarivaí,-23.9211,-48.6948,3553856,7,Itapeva
355390,Junho/2020,1298.0,17,7,10,0.78,Tarabai,-22.3016,-51.5621,3553906,9,Presidente Prudente
355395,Junho/2020,4665.0,101,170,-69,-1.46,Tarumã,-22.7429,-50.5786,3553955,8,Marília
355400,Junho/2020,25297.0,553,452,101,0.4,Tatuí,-23.3487,-47.8461,3554003,16,Sorocaba
355410,Junho/2020,72023.0,1246,1981,-735,-1.01,Taubaté,-23.0104,-45.5593,3554102,14,São José dos Campos
355420,Junho/2020,801.0,13,24,-11,-1.35,Tejupá,-23.3425,-49.3722,3554201,7,Itapeva
355430,Junho/2020,2454.0,37,63,-26,-1.05,Teodoro Sampaio,-22.5299,-52.1682,3554300,9,Presidente Prudente
355440,Junho/2020,998.0,51,27,24,2.46,Terra Roxa,-20.787,-48.3314,3554409,3,Barretos
355450,Junho/2020,13760.0,217,246,-29,-0.21,Tietê,-23.1101,-47.7164,3554508,16,Sorocaba
355460,Junho/2020,255.0,27,13,14,5.81,Timburi,-23.2057,-49.6096,3554607,8,Marília
355465,Junho/2020,241.0,5,3,2,0.84,Torre de Pedra,-23.2462,-48.1955,3554656,16,Sorocaba
355470,Junho/2020,2074.0,41,32,9,0.44,Torrinha,-22.4237,-48.1731,3554706,5,Campinas
355475,Junho/2020,412.0,5,1,4,0.98,Trabiju,-22.0388,-48.3342,3554755,1,São Carlos
